Catégorie;Niveau;Libellé;Vrai;Faux1;Faux2;Faux3;Faux4;Feedback;
Général;1;Le technicien en téléphonie a solutionné mon problème d'internet.;incorrect;correct;;;;résolu;
Général;1;Je ne comprends pas ce que vous dîtes !;incorrect;correct;;;;dites;
Général;1;Les gendarmes se sont fait aider de la brigade cynéphile.;incorrect;correct;;;;cynophile;
Général;1;Claude a pensé à amener le dessert.;incorrect;correct;;;;apporter;
Général;1;L'école va bientôt rouvrir.;correct;incorrect;;;;;
Général;1;Il faut indiquer votre formation sur votre CV, quelle que qu'elle soit;correct;incorrect;;;;;
Général;1;Quant je suis arrivé à l'aéroport, j'ai oublié un baguage.;incorrect;correct;;;;bagage;
Général;1;Cet appartement possède des pièces trop exigües.;incorrect;correct;;;;exiguës;
Général;1;Cette famille a su reserrer ses liens.;incorrect;correct;;;;resserrer;
Général;1;Maître Corbeau, par l'odeur alléchée, lui tint à peu près ce langage.;incorrect;correct;;;;alléché;
Général;1;Les rond-points fleurissent à l'entrée des villes.;incorrect;correct;;;;ronds-points;
Général;1;Nos sac à dos pèsent trop lourds.;incorrect;correct;;;;lourd;
Général;1;L'appartement resté vaquant longtemps, est enfin loué.;incorrect;correct;;;;vacant;
Général;1;Ils se sont parlés hier.;incorrect;correct;;;;parlé;
Général;1;Le Maire et sont équipe vous souhaitent une Bonne Année.;incorrect;correct;;;;son;
Général;1;Et voilà, les vacances c'est finit !;incorrect;correct;;;;fini;
Général;1;Quelle tempête il a fait hier !;correct;incorrect;;;;;
Général;1;LE professeur m'a pénalisé car j'ai fait un contresens.;correct;incorrect;;;;;
Général;1;Les pyramides sont de vrais chefs-d'œuvre.;correct;incorrect;;;;;
Général;1;elle s'est fait forte d'être arrivée avant moi.;incorrect;correct;;;;fort;
Général;1;A la fin du roman, le détective a découvert le poteau rose.;incorrect;correct;;;;pot aux roses;
Général;1;Il a réduit sa consommation de pain de quatre-vingt pour cent;incorrect;correct;;;;quatre-vingts;
Général;1;Avoir un enfant ou privilégier sa carrière, pour les femmes, quel dilemne !;incorrect;correct;;;;dilemme;
Général;1;On va recueillir l'avis des participants à la demie-journée;incorrect;correct;;;;demi;
Général;1;Ce tuteur à tomates garantit un bon maitient.;incorrect;correct;;;;maintien;
Général;1;Elle coasse fort cette grenouille reinette !;incorrect;correct;;;;rainette;
Général;1;Où donc faut-il déposer nos affaires ?;correct;incorrect;;;;;
Général;1;Marcel a signé le sous saint privé chez le notaire;incorrect;correct;;;;seing;
Général;1;Si six scies scient six citrons, six cent six scies scieront six cent six citrons.;correct;incorrect;;;;;
Général;1;Le journaliste a trufé son article de fautes de français.;incorrect;correct;;;;truffé;
Général;1;Le client a versé un accompte conséquent pour l'achat de son véhicule électrique;incorrect;correct;;;;acompte;
Général;1;Pour louer son appartement Marie a versé des ares au propriétaire.;incorrect;correct;;;;arrhes;
Général;1;Quelle joie pour les étudiants admis à l'examen, il se sont félicité des heures durant.;incorrect;correct;;;;félicités;
Général;1;Mon chien a renversés les quilles que j'avais si bien alignées.;incorrect;correct;;;;renversé;
Général;1;Anticonstitutionnellement est le mot le plus long de la langue Française.;incorrect;correct;;;;française;
Général;1;Quand l'employé à commencé sa tâche, il nettoie la gondole.;incorrect;correct;;;;a;
Général;1;"""""Science sans conscience n'est que ruine de l'âme"" (Rabelais)";correct;incorrect;;;;;
Général;1;Jadis nous utilisions des ordinateurs gros comme des immeubles;incorrect;correct;;;;Naguère;
Général;1;Les  roses rouges sangs du bouquet, attiraient le regard dès le vestibule.;correct;incorrect;;;;;
Général;1;Le perceur de coffres-forts se mettait à l'œuvre dès minuit.;correct;incorrect;;;;;
Général;1;Les renardeaux, il les a vu courir dans la neige au petit matin.;incorrect;correct;;;;vus;
Général;1;La pièce que j'ai vue jouer était excellente;incorrect;correct;;;;vu;
Commentaire;1;Quel est le délimiteur de début d'un commentaire Javadoc ?;le délimiteur /**;le délimiteur /*;le délimiteur //;le délimiteur (*;;;
Commentaire;1;Laquelle des propositions suivantes n'est pas un commentaire dans la syntaxe du langage Java ?;<*  commentaire *>; /* commentaire */; // commentaire;;;;
Commentaire;1;Si un commentaire est écrit sur plusieurs lignes, quel délimiteur de commentaire est-il préférable d'utiliser ?; /* commentaire */; // commentaire;;;;;
Commentaire;2;Il est conseillé d'écrire un commentaire au tout début du programme (avant la ligne comportant l'instruction package). Ce 1er commentaire est-il un commentaire Javadoc ?;non;oui;;;;;
Commentaire;3;Où le premier commentaire Javadoc est-il écrit ?;"juste avant la ligne ""public class …""";"avant la ligne ""package ...""";"entre les lignes ""package ..."" et ""import ...""";"juste après la ligne ""public class …""";;;
Commentaire;2;A quoi correspond l'expression : @author Dupont ?;une balise reconnue par Javadoc;un texte sans signification particulière;une façon de présenter le code choisie par le programmeur nommé Dupont;;;Les balises Javadoc commencent par le  caractère @;
Commentaire;2;Qu'est-ce que Javadoc ?;un outil logiciel qui génère automatiquement de la documentation à partir des commentaires présents dans du code Java;un plugin à installer obligatoirement lorsque l'on installe Java sur son ordinateur;le nom de la variable système contenant le chemin vers la documentation Java;;;;
Commentaire;1;Dans un commentaire Javadoc, il faut écrire le nom de l'auteur du programme après laquelle des balises suivantes ?; @author; @auteur; @param; @version;;;
Commentaire;2;"Quelle balise trouve-t-on dans le commentaire Javadoc situé juste avant la ligne ""public static void main …"" ?"; @param; @version; @author; @return;;Après cette balise, on expliquer le rôle du paramètre de la fonction main;
Commentaire;2;"Le commentaire que l'on écrit juste avant la ligne ""public static void main …"" est-il un commentaire Javadoc ?";oui;non;;;;oui, car il commence par /**;
Commentaire;2;"Que doit décrire le texte écrit dans le commentaire Javadoc situé juste avant la ligne ""public class …"" ?";Le rôle du programme, en explicitant de manière précise ce rôle ;Un résumé très bref, pas plus d'une ligne, du rôle du programme ;"Il n'y a pas de commentaire Javadoc juste avant la ligne ""public class …""";Le nom du fichier contenant le programme;;;
Commentaire;2;Pendant le cycle de vie d'un programme, à quel moment les commentaires sont-ils importants ?;pendant l'écriture du programme et pendant la phase de maintenance du logiciel;pendant l'écriture du programme;pendant la phase de maintenance du logiciel;les commentaires ne sont pas importants;;;
Affichage;1;"Les 2 lignes de codes suivantes sont équivalentes :   System.out.println(""Bonjour""); et System.out.print(""Bonjour\n"");    "; vrai; faux;;;;Le caractère \n est un caractère spécial qui amène le curseur au début de la ligne suivante;
Affichage;2;"Supposons que la varible nommée entier contienne la valeur 12. Qu'affiche l'instruction suivante :  System.out.println(""Entier = "" + entier + entier);";Entier = 1212;Entier = 24;Entier = 12;Entier = + 12 + 12;;Le caractère + situé entre les apparitions de la variable entier est considéré comme un + de concaténation, et pas d'addition;
Affichage;2;"Qu'affiche l'instruction suivante : System.out.println(""Bonjour "" + "" a tous"");";Bonjour a tous;cette instruction est incorrecte;Bonjour                                 a tous;;;Le retour à la ligne est fait après l'affichage de la totalité du texte;
Variable;2;"Comment se nomme la ligne de code suivante :             int entier; ";une déclaration de variable;une initialisation de variable;cette ligne n'a pas d'appellation particulière;une affectation de variable;;Sur cette ligne, on précise le type de la variable et son nom;
Variable;3;Quelle est la différence entre une affectation et une initialisation de variable ?;l'initialisation est la première affectation de la variable;il n'y a pas de différence entre les 2 termes;on n'emploie jamais le terme initialisation de variable;initialisation est un synonyme de déclaration;;;
Variable;1;"Dans la ligne de code suivante que représente int ?      int entier;";int est le type de la variable entier;cette ligne est incorrecte, il faut écrire integer à la place de int;int est un mot-clé que l'on utilise dans toutes les déclarations de variables;;;int est l'abréviation de integer;
Affectation;1;"On suppose que la variable entier est de type entier. Quelle sera sa valeur après les affectations suivantes ?  entier = 5;                                                                 entier = entier + 2;";7;5;6;2;;;
Affectation;1;"On suppose que la variable entier est de type entier. Quelle sera sa valeur après les affectations suivantes ?  entier = 5;                                                                 entier = entier + entier;";10;5;7;15;;;
Type;1;On suppose que le type de la variable entier est int. Quelles valeurs pourra-t-on affecter à entier ?;des entiers négatifs ou positifs, y compris 0;seulement des entiers positifs y compris 0;seulement des entiers strictement positifs;seulement des entiers strictement négatifs;;;
Type;1;On suppose que le type de la variable entier est int. Peut-on affecter à cette variable la valeur 2,5 ?;non;oui;;;;;
Saisie;1;On souhaite que effectuer une saisie au clavier d'un nombre entier et stocker celui-ci dans une variable nommée entier. Que faut-il écrire ?;"entier = entree.nextInt();";"entier = nexInt();";"entier = entree.nextInt;";"entier = entree.nextint();";;;
if;2;Dans une instruction if, la branche else est facultative ? Ou autrement dit, on peut écrire :                              if ( condition ) {                                                  instructions                                                                       };oui;non;;;;;
if;1;Dans une instruction if, les paranthèses autour de la condition sont obligatoires :                                           if ( condition ) { ;oui;non;;;;;
condition;2;La condition suivante    age < 0  && age > 115   est ;toujours fausse;toujours vraie;vraie ou fausse selon la valeur de la variable age;;;;
condition;1;La condition suivante 100 <= quantite <= 200   est correctement écrite; faux; vrai;;;;;
condition;1;La condition suivante   100 =< quantite est correctement écrite; faux; vrai;;;;;
condition;1;Comment écrit-on la condition qui dit que la quantite doit être différente de 0 ?;quantite != 0;quantite <> 0;quantite /= 0;;;;
condition;2;Quelle condition exprime qu'une note doit être comprise entre 0 et 20 et être différente de 9 ?;note >= 0 && note <= 20 && note != 9;note > 0 && note < 20 && note != 9;note >= 0 || note <= 20 || note != 9;note > 0 || note < 20 || note != 9;;;
condition;1;Quelle condition exprime que la variable entier contient un nombre pair ?;entier % 2 == 0;entier % 2 = 0;entier / 2 == 0;entier / 2 = 0;;;
